Laufende Nummer: Bezeichnung, Name des Museums, Anschrift des Museums, Kosten
15: Woman with a Rake, Bode-Museum, Am Kupfergraben/10117 Berlin/Deutschland, 3102
49: The Musician, Bode-Museum, Am Kupfergraben/10117 Berlin/Deutschland, 1678
15: Woman with a Rake, Bode-Museum, Am Kupfergraben/10117 Berlin/Deutschland, 3102
15: Woman with a Rake, Bode-Museum, Am Kupfergraben/10117 Berlin/Deutschland, 3102
45: A River Landscape, Bode-Museum, Am Kupfergraben/10117 Berlin/Deutschland, 1421
79: Louis XIV, Bode-Museum, Am Kupfergraben/10117 Berlin/Deutschland, 2963
39: Portrait of a Young Man, Bode-Museum, Am Kupfergraben/10117 Berlin/Deutschland, 4743
39: Portrait of a Young Man, Bode-Museum, Am Kupfergraben/10117 Berlin/Deutschland, 4743
22: La Berceuse (Woman Rocking a Cradle; Augustine-Alix Pellicot Roulin 1851–1930), Eremitage, Palace Square 2/St Petersburg/Russland, 2339
14: The Lamentation, Eremitage, Palace Square 2/St Petersburg/Russland, 1195
31: Louis XV (1710–1774) as a Child, Eremitage, Palace Square 2/St Petersburg/Russland, 4861
33: Springtime, Eremitage, Palace Square 2/St Petersburg/Russland, 2338
31: Louis XV (1710–1774) as a Child, Eremitage, Palace Square 2/St Petersburg/Russland, 4861
33: Springtime, Eremitage, Palace Square 2/St Petersburg/Russland, 2338
36: A Young Woman and a Cavalier, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 3509
8: Hermann von Wedigh III (died 1560), Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 1207
17: The Garden of the Tuileries on a Spring Morning, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 2890
23: Portrait of a Woman, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 1992
88: Virgin of the Immaculate Conception, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 1740
94: Pietà, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 3664
94: Pietà, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 3664
88: Virgin of the Immaculate Conception, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 1740
94: Pietà, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 3664
88: Virgin of the Immaculate Conception, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 1740
94: Pietà, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 3664
25: A Kitchen, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 3317
25: A Kitchen, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 3317
25: A Kitchen, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 3317
16: Garden at Sainte-Adresse, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 2663
16: Garden at Sainte-Adresse, Metropolitan Museum of Art, 1000 5th Ave/New York/NY 10028/Vereinigte Staaten, 2663
5: Portrait of a Woman, Museo del Prado, C. de Ruiz de Alarcón 23/28014 Madrid/Spanien, 2356
26: A Bouquet of Flowers, Museo del Prado, C. de Ruiz de Alarcón 23/28014 Madrid/Spanien, 4663
28: Portrait of a Young Man, Museo del Prado, C. de Ruiz de Alarcón 23/28014 Madrid/Spanien, 2103
32: Portrait of a Man, Museo del Prado, C. de Ruiz de Alarcón 23/28014 Madrid/Spanien, 4466
41: A Shaded Avenue, Museo del Prado, C. de Ruiz de Alarcón 23/28014 Madrid/Spanien, 4206
